=================================================================
Layer (type:depth-idx)                   Param #
=================================================================
CNN                                      --
├─Sequential: 1-1                        --
│    └─Conv2d: 2-1                       1,792
│    └─GroupNorm: 2-2                    128
│    └─ReLU: 2-3                         --
│    └─Conv2d: 2-4                       36,928
│    └─GroupNorm: 2-5                    128
│    └─ReLU: 2-6                         --
│    └─MaxPool2d: 2-7                    --
│    └─Conv2d: 2-8                       73,856
│    └─GroupNorm: 2-9                    256
│    └─ReLU: 2-10                        --
│    └─Conv2d: 2-11                      147,584
│    └─GroupNorm: 2-12                   256
│    └─ReLU: 2-13                        --
│    └─MaxPool2d: 2-14                   --
│    └─Conv2d: 2-15                      295,168
│    └─GroupNorm: 2-16                   512
│    └─ReLU: 2-17                        --
│    └─Conv2d: 2-18                      590,080
│    └─GroupNorm: 2-19                   512
│    └─ReLU: 2-20                        --
│    └─Conv2d: 2-21                      590,080
│    └─GroupNorm: 2-22                   512
│    └─ReLU: 2-23                        --
│    └─MaxPool2d: 2-24                   --
│    └─Conv2d: 2-25                      1,180,160
│    └─GroupNorm: 2-26                   1,024
│    └─ReLU: 2-27                        --
│    └─Conv2d: 2-28                      2,359,808
│    └─GroupNorm: 2-29                   1,024
│    └─ReLU: 2-30                        --
│    └─Conv2d: 2-31                      2,359,808
│    └─GroupNorm: 2-32                   1,024
│    └─ReLU: 2-33                        --
│    └─MaxPool2d: 2-34                   --
├─Sequential: 1-2                        --
│    └─Linear: 2-35                      8,392,704
│    └─ReLU: 2-36                        --
│    └─Dropout: 2-37                     --
│    └─Linear: 2-38                      16,781,312
│    └─ReLU: 2-39                        --
│    └─Dropout: 2-40                     --
│    └─Linear: 2-41                      4,097,000
│    └─ReLU: 2-42                        --
│    └─Dropout: 2-43                     --
│    └─Linear: 2-44                      14,014
=================================================================
Total params: 36,925,670
Trainable params: 36,925,670
Non-trainable params: 0
=================================================================
TRAINING - Epoch 0 Batch 0: loss 0.04925793036818504, f1 0.121,  prec 0.071, rec 0.418
TRAINING - Epoch 0 Batch 10: loss 0.032270096242427826, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 0 Batch 20: loss 0.033531833440065384, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 0 Batch 30: loss 0.030155792832374573, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 0 Batch 40: loss 0.03255333751440048, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 0 Batch 50: loss 0.03187723085284233, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 0 Batch 0: loss 0.03296905383467674, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 0 Batch 10: loss 0.030674170702695847, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 0 Batch 20: loss 0.03188261389732361, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 0: loss 0.0292234905064106, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 10: loss 0.03250577673316002, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 20: loss 0.03169095516204834, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 30: loss 0.030578354373574257, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 40: loss 0.030556898564100266, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 1 Batch 50: loss 0.03146199509501457, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 1 Batch 0: loss 0.03186546266078949, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 1 Batch 10: loss 0.029863720759749413, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 1 Batch 20: loss 0.031441234052181244, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 0: loss 0.02992980182170868, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 10: loss 0.03038320504128933, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 20: loss 0.029650157317519188, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 30: loss 0.03132542967796326, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 40: loss 0.030462056398391724, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 2 Batch 50: loss 0.033301033079624176, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 2 Batch 0: loss 0.030132358893752098, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 2 Batch 10: loss 0.03256390988826752, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 2 Batch 20: loss 0.031895723193883896, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 0: loss 0.029731744900345802, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 10: loss 0.02933141216635704, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 20: loss 0.031093016266822815, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 30: loss 0.030737359076738358, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 40: loss 0.03130445256829262, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 3 Batch 50: loss 0.03163107857108116, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 3 Batch 0: loss 0.03196611627936363, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 3 Batch 10: loss 0.030675599351525307, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 3 Batch 20: loss 0.03135737031698227, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 0: loss 0.030748773366212845, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 10: loss 0.028774455189704895, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 20: loss 0.030969716608524323, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 30: loss 0.03129615634679794, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 40: loss 0.031196052208542824, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 4 Batch 50: loss 0.030721427872776985, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 4 Batch 0: loss 0.0288467425853014, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 4 Batch 10: loss 0.0303002018481493, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 4 Batch 20: loss 0.031191367655992508, f1 0.0, prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 0: loss 0.03000285103917122, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 10: loss 0.030443500727415085, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 20: loss 0.031278278678655624, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 30: loss 0.03413157910108566, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 40: loss 0.030869828537106514, f1 0.0,  prec 0.0, rec 0.0
TRAINING - Epoch 5 Batch 50: loss 0.029589757323265076, f1 0.0,  prec 0.0, rec 0.0
VALIDATION - Epoch 5 Batch 0: loss 0.032415762543678284, f1 0.0, prec 0.0, rec 0.0
VALIDATION - Epoch 5 Batch 10: loss 0.030963962897658348, f1 0.0, prec 0.0, rec 0.0
